Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
D2,05/08/16,Kaiserslautern,Hannover,0,4,A,0,1,A,2.4,3.25,2.9,2.45,3.3,2.7,2.6,3.2,2.6,2.5,3.25,2.8,2.61,3.38,2.89,2.5,3.1,2.75,2.55,3.3,2.8,53,2.64,2.5,3.38,3.22,2.95,2.78,42,2.06,1.98,1.88,1.79,30,0,1.91,1.83,2.06,1.97,2.49,3.39,3.04
D2,06/08/16,Bochum,Union Berlin,2,1,H,0,0,D,2.2,3.3,3.3,2.1,3.4,3.2,2.1,3.3,3.3,2.1,3.5,3.3,2.2,3.61,3.4,2.05,3.5,3.25,2.15,3.6,3.25,52,2.2,2.14,3.61,3.41,3.4,3.23,40,1.78,1.72,2.17,2.06,27,-0.25,1.91,1.85,2.04,1.96,2.23,3.64,3.31
D2,06/08/16,Dresden,Nurnberg,1,1,D,0,1,A,2.6,3.3,2.63,2.55,3.25,2.65,2.6,3.2,2.6,2.6,3.2,2.8,2.68,3.26,2.89,2.5,3.25,2.7,2.55,3.3,2.8,53,2.7,2.56,3.45,3.21,2.89,2.71,41,2,1.89,1.96,1.86,30,0,1.9,1.84,2.05,1.95,3.07,3.35,2.49
D2,06/08/16,Sandhausen,Fortuna Dusseldorf,2,2,D,2,1,H,2.63,3.2,2.7,2.6,3.1,2.7,2.65,3.1,2.65,2.62,3.1,2.8,2.65,3.23,2.95,2.62,3.1,2.62,2.63,3.2,2.8,53,2.72,2.63,3.23,3.07,2.95,2.74,35,2.37,2.3,1.63,1.57,30,0,1.91,1.85,2.05,1.94,2.47,3.18,3.27
D2,07/08/16,Bielefeld,Karlsruhe,0,0,D,0,0,D,2.7,3.1,2.7,2.6,3.2,2.6,2.6,3.2,2.6,2.62,3,2.8,2.71,3.17,2.94,2.6,3.1,2.7,2.63,3.2,2.8,53,2.75,2.63,3.2,3.05,2.94,2.76,36,2.35,2.26,1.67,1.58,30,0,1.91,1.85,2.04,1.95,2.46,3.15,3.33
D2,07/08/16,Braunschweig,Wurzburger Kickers,2,1,H,1,0,H,2,3.4,3.75,1.85,3.5,3.9,1.9,3.45,3.8,2,3.25,4,2.08,3.33,4.09,1.83,3.4,4.2,2,3.4,3.9,53,2.08,1.97,3.5,3.26,4.3,3.9,41,2.36,2.23,1.68,1.62,28,-0.5,2.08,1.98,1.88,1.83,2.37,3.25,3.38
D2,07/08/16,Greuther Furth,Munich 1860,1,0,H,1,0,H,2.1,3.3,3.5,2.3,3.3,2.9,2.3,3.2,3,2.15,3.3,3.3,2.23,3.45,3.5,2.1,3.25,3.4,1.8,3.4,3.4,53,2.3,2.17,3.45,3.25,3.5,3.3,41,2.1,1.97,1.9,1.79,28,-0.25,1.93,1.87,2.01,1.94,2.51,3.4,3.01
D2,07/08/16,Heidenheim,Erzgebirge Aue,1,0,H,1,0,H,2.15,3.3,3.4,2.05,3.2,3.6,2.2,3.2,3.2,2.15,3.1,3.4,2.21,3.35,3.64,1.91,3.4,3.8,2.2,3.25,3.5,53,2.22,2.16,3.4,3.17,3.8,3.42,36,2.45,2.33,1.61,1.56,28,-0.25,1.92,1.86,2.01,1.95,2.27,3.16,3.73
D2,08/08/16,Stuttgart,St Pauli,2,1,H,0,1,A,1.73,3.6,4.75,1.75,3.6,4.33,1.75,3.5,4.5,1.75,3.6,4.5,1.81,3.84,4.7,1.7,3.5,4.8,1.8,3.8,4.33,53,1.83,1.78,3.84,3.57,5,4.38,41,1.89,1.8,2.07,1.95,27,-0.5,1.83,1.78,2.12,2.02,1.91,3.7,4.32
D2,12/08/16,Erzgebirge Aue,Sandhausen,2,0,H,2,0,H,2.15,3.3,3.4,2.1,3.2,3.7,2.1,3.3,3.3,2.2,3.1,3.4,2.28,3.26,3.58,2,3.2,3.75,2.25,3.3,3.3,50,2.29,2.19,3.3,3.15,3.75,3.39,32,2.4,2.33,1.62,1.56,25,-0.25,1.97,1.89,1.97,1.92,2.27,3.2,3.68
D2,12/08/16,Fortuna Dusseldorf,Stuttgart,1,0,H,0,0,D,3.6,3.4,2,3.25,3.4,2.2,2.9,3.3,2.3,3.4,3.4,2.05,3.61,3.57,2.14,3.3,3.5,2.05,3.5,3.5,2.1,49,3.61,3.36,3.57,3.36,2.33,2.12,39,1.91,1.83,2.02,1.94,25,0.25,2.08,2.01,1.85,1.81,3.48,3.63,2.16
D2,12/08/16,Nurnberg,Heidenheim,1,1,D,1,0,H,1.85,3.6,4,1.85,3.5,4.33,1.9,3.45,3.8,1.91,3.4,4,1.95,3.59,4.28,1.85,3.3,4.2,1.93,3.6,4,50,1.97,1.89,3.6,3.39,4.55,4.07,39,2.17,2.07,1.8,1.72,25,-0.5,1.97,1.9,1.96,1.91,1.97,3.54,4.25
D2,13/08/16,Karlsruhe,Bochum,1,1,D,0,1,A,2.5,3.2,2.88,2.4,3.2,2.85,2.4,3.3,2.75,2.5,3.25,2.75,2.61,3.39,2.88,2.38,3.2,2.88,2.6,3.3,2.75,50,2.62,2.51,3.39,3.2,2.9,2.8,38,2.11,2.02,1.83,1.75,27,0,1.9,1.82,2.07,1.98,2.49,3.35,3.08
D2,13/08/16,St Pauli,Braunschweig,0,2,A,0,1,A,2.25,3.4,3.1,2.3,3.3,3.1,2.3,3.3,2.9,2.3,3.2,3.1,2.4,3.35,3.23,2.2,3.1,3.3,2.3,3.4,3.1,49,2.4,2.31,3.4,3.19,3.3,3.1,37,2.23,2.13,1.75,1.68,25,-0.25,2.06,1.99,1.9,1.84,2.55,3.25,3.07
D2,14/08/16,Hannover,Greuther Furth,3,1,H,1,0,H,1.8,3.6,4.33,1.83,3.6,4.33,1.75,3.5,4.5,1.85,3.6,4,1.88,3.8,4.37,1.83,3.5,4,1.85,3.8,4.1,49,1.9,1.83,3.8,3.59,4.5,4.1,39,1.85,1.78,2.12,2,24,-0.5,1.89,1.83,2.06,1.98,1.93,3.67,4.29
D2,14/08/16,Munich 1860,Bielefeld,1,0,H,0,0,D,2.2,3.3,3.3,2.15,3.25,3.5,2.1,3.3,3.3,2.25,3.2,3.25,2.32,3.36,3.38,2.2,3.2,3.2,2.3,3.3,3.2,49,2.32,2.23,3.36,3.2,3.5,3.25,38,2.21,2.11,1.74,1.69,25,-0.25,2,1.92,1.94,1.89,2.41,3.27,3.28
D2,14/08/16,Wurzburger Kickers,Kaiserslautern,1,1,D,1,1,D,2.45,3.25,2.88,2.4,3.2,3,2.6,3.2,2.6,2.5,3.1,2.88,2.66,3.21,2.97,2.3,3.1,3.1,2.5,3.25,2.9,49,2.66,2.5,3.25,3.08,3.1,2.9,33,2.44,2.27,1.62,1.58,26,0,1.85,1.78,2.14,2.03,3.12,3.19,2.56
