Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
E2,06/08/16,Bolton,Sheffield United,1,0,H,1,0,H,R Joyce,8,4,3,0,10,7,2,4,2,1,0,0,2.9,3.3,2.63,2.6,3.1,2.55,2.7,3.05,2.45,2.88,3.1,2.5,2.94,3.26,2.64,2.9,3,2.62,2.88,3.3,2.55,54,2.94,2.8,3.3,3.14,2.64,2.53,37,2.2,2.1,1.78,1.68,28,0,2.08,2,1.87,1.81,3.2,3.35,2.41
E2,06/08/16,Bradford,Port Vale,0,0,D,0,0,D,D Deadman,12,8,1,2,10,15,11,3,0,2,0,0,1.73,3.75,5.5,1.62,3.6,5,1.65,3.4,4.8,1.7,3.6,5.25,1.73,3.75,5.52,1.73,3.5,5,1.73,3.75,5.25,54,1.73,1.69,3.75,3.56,5.52,5.06,38,2.19,2.1,1.74,1.68,29,-0.75,1.97,1.91,1.96,1.91,1.78,3.59,5.45
E2,06/08/16,Bury,Charlton,2,0,H,0,0,D,N Miller,11,9,4,1,11,9,6,5,0,0,0,0,3,3.4,2.5,3,3.2,2.2,2.75,3.1,2.35,2.8,3.3,2.5,2.91,3.4,2.58,3,3,2.5,2.88,3.4,2.5,54,3,2.86,3.4,3.21,2.58,2.45,44,2.12,2.03,1.83,1.74,29,0.25,1.8,1.74,2.2,2.11,2.73,3.41,2.73
E2,06/08/16,Millwall,Oldham,3,0,H,2,0,H,R East,15,8,7,2,14,10,6,3,0,1,0,0,1.67,3.8,6,1.6,3.75,4.75,1.55,3.6,5,1.62,3.8,5.75,1.64,4,6.09,1.65,3.75,5.5,1.62,4,5.75,54,1.67,1.62,4,3.73,6.09,5.47,44,2.05,1.96,1.88,1.8,29,-0.75,1.85,1.8,2.1,2.03,1.55,4.22,7.05
E2,06/08/16,Northampton,Fleetwood Town,1,1,D,1,0,H,A Haines,9,7,2,3,7,9,3,0,1,0,0,0,2.3,3.4,3.4,2.25,3.2,2.9,2.1,3.1,3.15,2.25,3.2,3.25,2.33,3.35,3.36,2.3,3.2,3.2,2.25,3.4,3.3,54,2.33,2.22,3.4,3.23,3.4,3.24,40,2.24,2.13,1.73,1.67,29,-0.25,2,1.91,1.99,1.91,2.28,3.37,3.46
E2,06/08/16,Oxford,Chesterfield,1,1,D,1,0,H,G Ward,16,8,6,5,7,9,3,3,1,2,0,0,2,3.5,4.2,1.87,3.3,3.75,1.85,3.25,3.8,1.91,3.4,4,1.93,3.65,4.31,2,3.2,4,1.95,3.6,4,54,2.05,1.92,3.65,3.4,4.31,3.93,43,2.11,2.02,1.82,1.75,29,-0.5,1.97,1.91,1.97,1.9,1.94,3.66,4.22
E2,06/08/16,Rochdale,Peterboro,2,3,A,2,2,D,D Webb,12,9,3,4,6,12,7,4,0,1,0,0,2.6,3.4,2.9,2.55,3.3,2.45,2.4,3.15,2.7,2.5,3.2,2.88,2.58,3.3,2.98,2.7,3.1,2.7,2.5,3.4,2.9,54,2.7,2.5,3.4,3.23,2.98,2.78,44,1.91,1.84,2.03,1.91,28,0,1.85,1.8,2.1,2.02,2.42,3.56,3.02
E2,06/08/16,Scunthorpe,Bristol Rvs,3,1,H,0,1,A,B Toner,12,6,6,3,8,7,11,2,1,2,0,0,2.25,3.4,3.5,2.15,3.2,3.1,2.15,3.1,3.1,2.2,3.25,3.3,2.28,3.38,3.44,2.3,3.2,3.2,2.25,3.4,3.3,54,2.32,2.22,3.4,3.24,3.5,3.2,37,2.23,2.12,1.71,1.66,29,-0.25,1.99,1.91,1.98,1.91,2.16,3.42,3.71
E2,06/08/16,Shrewsbury,Milton Keynes Dons,0,1,A,0,0,D,B Malone,11,12,3,4,13,10,2,8,2,2,0,0,2.88,3.4,2.63,2.6,3.2,2.5,2.65,3.1,2.45,2.75,3.25,2.5,2.89,3.37,2.62,2.9,3,2.62,2.75,3.4,2.6,54,2.9,2.76,3.4,3.21,2.63,2.53,43,2.13,2.03,1.82,1.74,28,0,2.04,1.98,1.9,1.84,2.76,3.32,2.76
E2,06/08/16,Southend,Gillingham,1,3,A,1,1,D,D Whitestone,10,18,4,4,9,11,4,3,0,2,0,0,2.5,3.4,3,2.35,3.2,2.8,2.35,3.05,2.85,2.4,3.25,2.9,2.51,3.41,3,2.4,3.1,3.1,2.5,3.4,2.9,54,2.51,2.39,3.41,3.21,3.25,2.96,38,2.2,2.1,1.78,1.68,29,-0.25,2.16,2.08,1.8,1.76,2.79,3.37,2.7
E2,06/08/16,Swindon,Coventry,1,0,H,0,0,D,D Handley,14,10,3,3,10,14,2,8,1,2,0,0,2.9,3.4,2.6,2.8,3.2,2.3,2.7,3.15,2.35,2.8,3.25,2.5,2.97,3.36,2.55,2.9,3,2.62,2.9,3.4,2.5,54,2.97,2.83,3.4,3.22,2.62,2.46,43,2.13,2.02,1.82,1.74,28,0,2.11,2.03,1.84,1.78,2.91,3.31,2.63
E2,06/08/16,Walsall,AFC Wimbledon,3,1,H,2,0,H,C Breakspear,9,10,4,2,13,9,3,2,2,2,0,0,2.15,3.5,3.6,2,3.3,3.4,2,3.2,3.35,2.1,3.3,3.6,2.13,3.44,3.76,2.2,3.3,3.3,2.15,3.5,3.5,54,2.2,2.1,3.5,3.28,3.76,3.47,40,2.2,2.12,1.74,1.67,29,-0.25,1.89,1.81,2.09,2.01,2.23,3.42,3.51
E2,13/08/16,AFC Wimbledon,Bolton,1,2,A,1,1,D,G Ward,11,9,5,2,10,10,3,7,1,2,0,0,2.5,3.4,3,2.35,3.1,2.85,2.3,3.1,2.85,2.38,3.3,3,2.41,3.45,3.12,2.5,3.2,2.9,2.4,3.4,3,53,2.5,2.37,3.5,3.25,3.12,2.94,40,2.11,2.02,1.82,1.75,28,0,1.76,1.71,2.21,2.13,2.41,3.42,3.15
E2,13/08/16,Charlton,Northampton,1,1,D,0,1,A,D England,17,7,6,3,8,10,7,4,0,0,0,0,2.25,3.4,3.5,2.05,3.2,3.3,2.1,3.1,3.2,2.2,3.3,3.3,2.26,3.42,3.45,2.3,3.2,3.2,2.25,3.4,3.3,52,2.3,2.18,3.42,3.25,3.7,3.31,35,2.17,2.08,1.75,1.69,30,-0.5,2.27,2.18,1.73,1.68,2.53,3.34,3.02
E2,13/08/16,Chesterfield,Swindon,3,1,H,2,0,H,C Boyeson,13,12,8,2,10,12,7,7,0,4,0,0,2.3,3.5,3.3,2.2,3.2,3,2.15,3.1,3.05,2.2,3.3,3.25,2.27,3.48,3.36,2.3,3.2,3.2,2.25,3.5,3.25,53,2.3,2.23,3.5,3.27,3.36,3.18,35,2.05,1.95,1.92,1.79,31,-0.25,1.97,1.91,1.97,1.9,2.29,3.56,3.24
E2,13/08/16,Coventry,Shrewsbury,0,0,D,0,0,D,R Joyce,14,6,4,1,14,13,11,2,4,3,0,0,2.15,3.4,3.75,2.1,3.1,3.3,1.95,3.2,3.45,2.05,3.3,3.6,2.14,3.48,3.7,2.15,3.2,3.6,2.15,3.4,3.6,53,2.15,2.07,3.48,3.31,3.75,3.54,40,2.11,2.02,1.82,1.75,31,-0.5,2.14,2.06,1.83,1.77,2.21,3.47,3.51
E2,13/08/16,Fleetwood Town,Scunthorpe,2,2,D,1,0,H,S Stockbridge,8,14,4,6,9,16,4,5,1,1,0,0,2.8,3.3,2.75,2.6,3,2.6,2.6,3.05,2.5,2.75,3.1,2.62,2.86,3.23,2.74,2.7,3.1,2.7,2.75,3.3,2.7,53,2.86,2.71,3.3,3.14,2.75,2.61,39,2.2,2.1,1.76,1.7,30,0,2.01,1.94,1.94,1.86,2.75,3.23,2.84
E2,13/08/16,Gillingham,Bury,2,1,H,1,0,H,B Malone,11,14,2,4,11,7,4,1,2,2,0,0,2.15,3.4,3.75,2,3.2,3.5,2.05,3.2,3.3,2.05,3.4,3.6,2.07,3.57,3.81,2.15,3.2,3.6,2.15,3.5,3.5,53,2.15,2.07,3.57,3.33,3.81,3.5,37,2,1.93,1.92,1.83,31,-0.25,1.87,1.8,2.14,2.02,2.22,3.51,3.44
E2,13/08/16,Milton Keynes Dons,Millwall,2,2,D,2,2,D,S Hooper,12,11,5,6,5,7,2,9,1,2,0,0,3.3,3.3,2.4,2.85,3,2.4,2.95,3.05,2.25,3,3.25,2.3,3.22,3.39,2.38,3.1,3.1,2.4,3.1,3.3,2.4,53,3.3,3.03,3.39,3.18,2.5,2.35,34,2.2,2.1,1.75,1.68,26,0,2.3,2.17,1.75,1.68,3.29,3.43,2.33
E2,13/08/16,Oldham,Walsall,0,0,D,0,0,D,D Webb,8,8,3,3,14,10,6,4,1,1,0,0,3,3.25,2.6,2.7,3.1,2.45,2.75,3.05,2.4,2.8,3.25,2.5,2.91,3.37,2.6,2.8,3.1,2.62,2.88,3.3,2.55,53,3,2.82,3.37,3.19,2.62,2.49,41,2.13,2.05,1.8,1.73,29,0.25,1.75,1.71,2.24,2.14,2.78,3.26,2.78
E2,13/08/16,Peterboro,Bradford,0,1,A,0,1,A,D Handley,12,13,4,2,17,11,5,5,1,3,0,0,2.63,3.3,2.9,2.4,3.1,2.8,2.45,3.05,2.65,2.6,3.1,2.8,2.66,3.22,2.95,2.62,3.1,2.8,2.63,3.3,2.8,53,2.66,2.55,3.3,3.16,2.95,2.77,39,2.06,1.96,1.87,1.8,29,0,1.91,1.82,2.05,1.99,2.57,3.28,3.03
E2,13/08/16,Port Vale,Southend,2,0,H,1,0,H,L Probert,9,7,4,5,12,15,7,6,1,3,0,0,2.3,3.4,3.4,2.3,3.1,2.9,2.2,3.05,3.05,2.25,3.25,3.25,2.3,3.39,3.4,2.3,3.2,3.2,2.25,3.4,3.3,53,2.4,2.25,3.4,3.22,3.4,3.19,34,2.17,2.09,1.75,1.68,27,-0.25,1.97,1.92,1.95,1.89,2.18,3.53,3.53
E2,13/08/16,Sheffield United,Rochdale,1,1,D,0,1,A,K Johnson,9,8,2,2,4,9,4,3,1,1,0,0,1.8,3.75,5,1.78,3.3,4.2,1.7,3.45,4.35,1.8,3.5,4.5,1.83,3.72,4.75,1.83,3.4,4.5,1.8,3.75,4.6,53,1.87,1.77,3.75,3.53,5,4.52,41,2.02,1.93,1.91,1.83,31,-0.5,1.83,1.76,2.14,2.06,1.96,3.62,4.17
E2,14/08/16,Bristol Rvs,Oxford,2,1,H,1,1,D,C Breakspear,16,10,6,5,15,18,6,1,4,1,0,1,2.5,3.4,3,2.35,3.1,2.85,2.35,3.05,2.8,2.4,3.25,2.9,2.51,3.37,3.03,2.5,3.2,2.9,2.45,3.4,3,53,2.51,2.43,3.4,3.18,3.05,2.91,35,2.17,2.08,1.75,1.7,31,-0.25,2.14,2.07,1.82,1.76,2.82,3.37,2.68
E2,16/08/16,AFC Wimbledon,Scunthorpe,1,2,A,0,2,A,D Whitestone,20,13,6,5,12,14,7,3,1,1,0,0,2.8,3.3,2.75,2.6,3.1,2.55,2.6,3,2.55,2.75,3,2.62,2.87,3.18,2.76,2.7,3.1,2.7,2.75,3.4,2.63,53,2.87,2.71,3.5,3.15,2.76,2.62,37,2.3,2.17,1.81,1.64,27,0,2,1.94,1.93,1.87,2.74,3.17,2.9
E2,16/08/16,Charlton,Shrewsbury,3,0,H,3,0,H,G Ward,12,14,7,4,5,13,2,3,0,3,0,0,2.05,3.5,4,1.95,3.3,3.5,1.9,3.2,3.6,1.95,3.4,3.8,2,3.56,4.08,2.1,3.3,3.6,2,3.5,3.9,54,2.1,2,3.56,3.37,4.08,3.69,41,2.11,2.03,1.82,1.74,28,-0.5,2.08,1.97,1.91,1.84,2.01,3.59,4.01
E2,16/08/16,Chesterfield,Walsall,2,0,H,0,0,D,G Salisbury,16,10,7,3,5,8,11,1,1,0,0,0,2.45,3.4,3.1,2.25,3.3,2.85,2.25,3.1,2.9,2.4,3.2,3,2.48,3.35,3.08,2.5,3.1,3,2.4,3.4,3,55,2.5,2.38,3.4,3.24,3.11,2.97,43,2.06,1.97,1.88,1.79,27,-0.25,2.12,2.03,1.85,1.79,2.51,3.27,3.11
