Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
SC1,27/08/16,Ayr,St Mirren,1,1,D,1,0,H,3,3.8,2,3,3.6,2,3.05,3.4,2.05,3.3,3.4,2.15,3.44,3.56,2.18,3,3.5,2.25,3.3,3.5,2.15,52,3.44,3.13,3.8,3.45,2.25,2.1,34,1.9,1.78,2.08,1.94,26,0.25,2.01,1.95,1.92,1.85,3.36,3.57,2.24
SC1,27/08/16,Dundee United,Raith Rvs,2,2,D,2,1,H,1.67,3.8,4.33,1.72,3.7,3.9,1.65,3.65,4.5,1.67,3.75,5,1.69,3.95,5.37,1.73,3.75,4.5,1.7,3.9,4.8,52,1.75,1.67,3.95,3.72,5.37,4.63,39,1.88,1.8,2.08,1.94,26,-0.75,1.94,1.86,2.02,1.93,1.81,3.85,4.56
SC1,27/08/16,Dunfermline,Queen of Sth,0,1,A,0,1,A,2.1,3.6,2.88,2.2,3.25,2.9,2.15,3.3,2.9,2.25,3.4,3,2.32,3.54,3.17,2,3.6,3.5,2.25,3.5,3.13,52,2.32,2.19,3.65,3.38,3.5,2.99,34,1.88,1.78,2.08,1.94,26,-0.25,2.02,1.94,1.93,1.86,2.54,3.64,2.75
SC1,27/08/16,Falkirk,Dumbarton,1,0,H,0,0,D,1.5,4.75,5.5,1.45,4.1,5.75,1.45,4.1,5.5,1.5,4.2,6,1.53,4.42,6.67,1.44,4.5,6.5,1.5,4.4,6.25,51,1.53,1.47,4.75,4.24,7,5.9,34,1.73,1.63,2.33,2.16,20,-1.25,2.19,2.1,1.78,1.73,1.52,4.43,6.83
SC1,27/08/16,Hibernian,Morton,4,0,H,2,0,H,1.25,5.5,9,1.28,5,8,1.25,4.95,8.5,1.3,5.25,11,1.3,5.76,11.8,1.33,5,9,1.29,5.75,10.5,52,1.33,1.27,5.76,5.22,11.8,9.24,35,1.63,1.58,2.43,2.25,28,-1.5,1.94,1.86,1.99,1.93,1.39,4.91,9.44
SC1,10/09/16,Ayr,Morton,2,1,H,0,0,D,2.63,3.75,2.4,2.7,3.5,2.2,2.8,3.2,2.25,2.88,3.3,2.4,2.97,3.46,2.47,2.88,3.5,2.3,2.88,3.5,2.4,53,3,2.79,3.75,3.33,2.53,2.36,38,2.08,1.93,1.95,1.8,26,0.25,1.81,1.74,2.17,2.09,2.9,3.38,2.57
SC1,10/09/16,Dumbarton,Hibernian,0,1,A,0,1,A,10,5.25,1.3,7.75,4.75,1.3,8,4.85,1.3,9,5.25,1.33,10.1,5.65,1.33,8.5,4.8,1.36,8.5,5,1.36,53,10.1,8.36,5.65,4.99,1.36,1.31,37,1.65,1.56,2.45,2.28,24,1.25,2.28,2.16,1.84,1.69,8.74,5.36,1.37
SC1,10/09/16,Dunfermline,Dundee United,1,3,A,0,1,A,3.2,3.5,2.15,3.1,3.25,2.1,3.1,3.35,2.05,3.1,3.6,2.15,3.26,3.71,2.21,3.3,3.5,2.1,3.2,3.7,2.15,54,3.3,3.11,3.71,3.46,2.22,2.11,39,1.75,1.66,2.24,2.11,26,0.5,1.77,1.69,2.23,2.15,3.37,3.74,2.14
SC1,10/09/16,Raith Rvs,Falkirk,0,2,A,0,1,A,2.55,3.5,2.6,2.35,3.2,2.7,2.35,3.2,2.65,2.4,3.4,2.75,2.47,3.53,2.92,2.45,3.4,2.8,2.55,3.4,2.75,54,2.59,2.43,3.53,3.3,2.92,2.7,40,1.96,1.86,1.99,1.87,25,0,1.87,1.8,2.11,1.99,2.56,3.53,2.8
SC1,10/09/16,St Mirren,Queen of Sth,1,3,A,1,2,A,2.55,3.6,2.5,2.8,3.2,2.25,2.55,3.25,2.45,2.75,3.3,2.5,2.85,3.44,2.57,2.62,3.4,2.6,2.75,3.4,2.55,52,2.9,2.66,3.6,3.32,2.6,2.46,38,1.99,1.87,1.93,1.85,22,0.25,1.8,1.7,2.25,2.16,2.82,3.54,2.54
