Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
SC0,06/08/16,Kilmarnock,Motherwell,1,2,A,0,1,A,C Thomson,9,7,8,7,7,8,5,3,1,3,0,0,2.63,3.3,2.63,2.55,3.25,2.5,2.65,3.2,2.45,2.75,3.1,2.62,2.81,3.28,2.74,2.7,3.1,2.7,2.75,3.4,2.63,53,2.81,2.67,3.5,3.2,2.74,2.62,42,2.16,2.08,1.8,1.71,30,0,2,1.92,1.95,1.88,2.9,3.3,2.65
SC0,06/08/16,Partick,Inverness C,2,0,H,1,0,H,N Walsh,6,8,3,2,20,10,2,5,2,1,0,0,2.6,3.2,2.75,2.35,3.25,2.7,2.5,3.2,2.6,2.7,3,2.75,2.82,3.15,2.82,2.7,3.1,2.7,2.75,3.3,2.7,53,2.82,2.66,3.3,3.12,2.82,2.69,41,2.3,2.18,1.72,1.64,30,0,1.98,1.9,1.97,1.9,2.83,3.15,2.82
SC0,06/08/16,Rangers,Hamilton,1,1,D,0,1,A,D Robertson,20,9,4,2,7,19,10,4,0,5,0,0,1.36,5,7.5,1.36,4.25,7.5,1.35,4.5,7.3,1.36,4.75,8.5,1.39,5.11,9.24,1.4,4.5,8,1.4,5,8.5,54,1.42,1.37,5.11,4.71,9.24,8,38,1.67,1.62,2.31,2.2,29,-1.25,1.89,1.84,2.06,1.98,1.34,5.41,10.62
SC0,06/08/16,Ross County,Dundee,1,3,A,0,2,A,B Madden,16,7,6,4,18,12,7,2,3,2,0,0,2.25,3.4,3.1,2.2,3.3,2.9,2.3,3.2,2.8,2.25,3.3,3.1,2.33,3.46,3.25,2.3,3.2,3.2,2.3,3.4,3.2,53,2.4,2.26,3.46,3.28,3.25,3.11,42,2.07,1.98,1.89,1.78,28,-0.25,2.02,1.95,1.93,1.87,2.16,3.53,3.58
SC0,07/08/16,Hearts,Celtic,1,2,A,1,1,D,J Beaton,13,11,6,5,15,13,5,6,7,4,0,0,5,4,1.62,4.75,3.7,1.62,4.4,3.5,1.7,5,3.8,1.67,5.37,4.17,1.67,5,3.8,1.67,5.2,4.1,1.67,53,5.37,4.91,4.17,3.9,1.7,1.65,42,1.86,1.76,2.11,2.01,28,0.75,2.07,1.99,1.93,1.84,5.38,4.06,1.68
SC0,07/08/16,St Johnstone,Aberdeen,0,0,D,0,0,D,W Collum,7,10,5,7,17,11,2,7,2,0,0,0,3.6,3.3,2.05,3.75,3.3,1.9,3.1,3.3,2.1,3.5,3.25,2.1,3.59,3.43,2.2,3.5,3.25,2.15,3.6,3.4,2.15,53,3.75,3.47,3.5,3.3,2.2,2.1,42,2.25,2.15,1.72,1.66,28,0.25,2.07,2,1.88,1.81,3.2,3.28,2.45
SC0,13/08/16,Aberdeen,Hearts,0,0,D,0,0,D,K Clancy,12,11,1,1,12,16,3,1,2,5,0,0,1.95,3.6,3.6,1.95,3.3,3.5,2,3.3,3.3,1.95,3.4,3.8,1.98,3.57,4.14,2.05,3.1,4,1.95,3.6,4,51,2.05,1.96,3.7,3.43,4.14,3.76,38,2.06,1.95,1.88,1.82,24,-0.5,2,1.94,1.95,1.87,2.04,3.57,3.93
SC0,13/08/16,Dundee,Rangers,1,2,A,1,2,A,C Thomson,7,9,3,6,10,10,5,5,2,2,0,0,4.75,3.75,1.7,4.75,3.75,1.6,4.2,3.5,1.75,4.5,3.8,1.7,4.97,4.12,1.72,4.5,3.8,1.73,4.75,4,1.73,50,5,4.65,4.12,3.74,1.75,1.71,37,1.83,1.74,2.17,2.05,24,0.75,1.98,1.9,2,1.91,4.83,3.9,1.78
SC0,13/08/16,Hamilton,Kilmarnock,1,2,A,1,0,H,S McLean,7,5,4,2,12,7,3,3,1,3,0,0,2.1,3.75,3.1,2.1,3.4,3,2.2,3.2,3,2.2,3.4,3.2,2.25,3.55,3.34,2.25,3.4,3.1,2.2,3.6,3.25,50,2.27,2.18,3.75,3.4,3.4,3.16,39,2,1.93,1.92,1.84,25,-0.25,1.99,1.9,2.01,1.91,2.24,3.45,3.45
SC0,13/08/16,Inverness C,Ross County,2,3,A,1,2,A,A Dallas,12,12,8,5,12,14,6,4,4,5,0,0,2.3,3.5,2.88,2.2,3.2,3,2.3,3.2,2.8,2.3,3.2,3.1,2.44,3.34,3.16,2.4,3.2,3,2.3,3.4,3.13,50,2.44,2.31,3.5,3.27,3.2,3.04,37,2.21,2.11,1.75,1.69,25,-0.25,2.09,1.99,1.9,1.83,2.32,3.38,3.35
SC0,13/08/16,Motherwell,St Johnstone,1,2,A,0,0,D,E Anderson,13,15,4,5,14,8,6,3,3,3,0,0,2.5,3.5,2.63,2.35,3.2,2.75,2.4,3.2,2.7,2.62,3.2,2.7,2.73,3.37,2.77,2.7,3.1,2.7,2.7,3.4,2.7,50,2.73,2.57,3.5,3.24,2.8,2.7,37,2.17,2.06,1.81,1.73,26,0,1.94,1.86,2.05,1.95,3.14,3.44,2.4
SC0,19/08/16,Dundee,Hamilton,1,1,D,1,1,D,K Clancy,8,8,5,4,8,13,4,6,1,2,0,0,1.95,3.3,3.9,1.95,3.25,3.6,2,3.3,3.3,2.1,3.4,3.5,2.12,3.57,3.67,2,3.3,3.5,2.15,3.5,3.5,58,2.15,2.07,3.57,3.38,3.9,3.46,46,1.97,1.85,1.99,1.91,32,-0.25,1.85,1.79,2.17,2.03,2.11,3.5,3.76
SC0,20/08/16,Aberdeen,Partick,2,1,H,1,0,H,J Beaton,10,11,6,2,10,13,3,6,1,2,0,1,1.57,3.6,6.5,1.57,3.7,5.25,1.6,3.6,5,1.57,3.8,6,1.58,4.17,6.58,1.57,4,6,1.57,4.1,6.25,56,1.62,1.56,4.2,3.85,6.58,5.97,42,2.15,2.01,1.85,1.76,31,-1,2.16,2.01,1.87,1.8,1.58,4.17,6.58
SC0,20/08/16,Hearts,Inverness C,5,1,H,2,0,H,S McLean,18,13,10,7,14,15,6,8,1,4,0,0,1.95,3.4,3.9,1.78,3.4,4.1,2,3.3,3.3,1.91,3.4,4,1.99,3.59,4.11,2,3.4,3.8,1.95,3.5,4.1,56,2.01,1.94,3.59,3.39,4.5,3.86,43,2.17,2.07,1.79,1.72,29,-0.5,2.02,1.93,1.96,1.87,1.88,3.66,4.55
SC0,20/08/16,Rangers,Motherwell,2,1,H,0,1,A,B Madden,18,9,3,3,10,7,14,4,0,0,0,0,1.3,5.5,9,1.34,4.5,7.5,1.35,4.5,7.3,1.36,4.75,8.5,1.33,5.62,10.57,1.36,4.8,8.5,1.36,5.25,8.5,56,1.4,1.34,5.62,4.92,10.57,8.55,37,1.68,1.64,2.28,2.17,32,-1.5,2.09,2,1.85,1.8,1.35,5.38,10.09
SC0,20/08/16,Ross County,Kilmarnock,2,0,H,1,0,H,N Walsh,11,4,2,0,16,12,6,4,1,1,0,0,1.75,3.5,4.75,1.8,3.4,4,1.8,3.4,4,1.8,3.6,4.33,1.83,3.87,4.54,1.8,3.6,4.4,1.83,3.8,4.33,56,1.85,1.79,3.87,3.61,4.8,4.31,43,1.92,1.83,2.02,1.92,28,-0.5,1.84,1.79,2.13,2.03,1.75,3.98,4.97
SC0,20/08/16,St Johnstone,Celtic,2,4,A,0,3,A,C Thomson,7,19,5,5,12,10,1,6,3,4,0,0,5.75,3.75,1.6,4.6,3.6,1.65,4.6,3.5,1.65,5,3.8,1.67,5.27,4.02,1.7,5,3.8,1.67,5.25,4,1.67,57,5.75,5.11,4.05,3.8,1.7,1.64,45,1.97,1.81,2.05,1.96,31,0.75,2.07,1.98,1.9,1.84,6.1,4.32,1.59
SC0,26/08/16,Kilmarnock,Rangers,1,1,D,1,0,H,K Clancy,8,19,2,7,14,17,2,8,4,2,1,0,7,4.33,1.44,6.75,4.2,1.4,5.5,4,1.5,7,4.5,1.44,7.36,4.79,1.47,7,4.4,1.44,7.5,4.75,1.44,53,7.8,6.95,4.84,4.5,1.5,1.42,37,1.75,1.66,2.3,2.13,28,1,2.28,2.18,1.77,1.68,8.86,4.72,1.43
SC0,27/08/16,Celtic,Aberdeen,4,1,H,2,1,H,B Madden,10,5,5,1,11,13,4,1,0,1,0,1,1.44,4.33,7,1.45,4.1,6,1.45,3.9,6.5,1.48,4.33,6.5,1.49,4.72,7.06,1.5,4.4,6,1.5,4.6,6.5,52,1.53,1.47,4.72,4.36,7.06,6.31,37,1.62,1.57,2.4,2.3,28,-1,1.8,1.75,2.17,2.07,1.36,5.49,9.08
