Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
P1,21/08/16,Feirense,Moreirense,0,3,A,0,1,A,2.3,3,3.4,2.35,3,3.1,2.3,3,3,2.25,3,3.4,2.31,3.13,3.66,2.45,2.88,3,2.3,3.1,3.4,56,2.45,2.27,3.13,3.01,3.66,3.35,41,2.69,2.55,1.51,1.48,28,-0.25,2,1.93,1.96,1.88,2.25,3.19,3.74
P1,22/08/16,Sp Braga,Rio Ave,1,1,D,0,1,A,1.57,3.8,6,1.53,3.8,6,1.55,3.7,5.4,1.6,3.8,5.75,1.61,4.11,6.15,1.55,3.8,5.5,1.6,4,5.75,54,1.63,1.57,4.11,3.86,6.5,5.75,43,2.01,1.9,1.96,1.84,30,-1,2.13,2.02,1.85,1.79,1.83,3.42,5.39
P1,26/08/16,Guimaraes,Pacos Ferreira,5,3,H,2,1,H,2,3.1,4.2,2,3.3,3.6,2.1,3.1,3.3,1.95,3.25,4,2.03,3.37,4.23,2.05,3.2,3.6,2,3.3,4,54,2.1,1.99,3.43,3.28,4.23,3.92,39,2.35,2.21,1.68,1.62,26,-0.5,2.03,1.98,1.89,1.84,2.1,3.25,4.15
P1,27/08/16,Estoril,Sp Braga,1,3,A,0,2,A,3.75,3.25,2.05,3.4,3.25,2.1,3.1,3.3,2.1,3.8,3.2,2.05,4.05,3.34,2.09,3.6,3.2,2.05,3.7,3.3,2.1,54,4.05,3.66,3.35,3.24,2.15,2.07,37,2.31,2.21,1.68,1.62,26,0.25,2.15,2.05,1.83,1.79,4.78,3.64,1.85
P1,27/08/16,Nacional,Benfica,1,3,A,0,1,A,8,4.5,1.4,8.25,4.1,1.4,7,4.1,1.4,8.5,4.33,1.4,9.31,4.67,1.42,7.5,4,1.44,8.5,4.6,1.4,53,9.31,8.23,4.67,4.31,1.46,1.4,40,2.07,1.96,1.9,1.8,25,1,2.28,2.2,1.71,1.67,12.27,5.1,1.34
P1,27/08/16,Tondela,Belenenses,0,1,A,0,0,D,2.45,3.25,2.88,2.4,3.2,2.85,2.5,3,2.8,2.4,3,3,2.55,3.12,3.2,2.5,2.9,3,2.5,3,3.13,54,2.55,2.48,3.25,3.04,3.2,3.01,38,2.72,2.55,1.55,1.48,26,-0.25,2.15,2.1,1.8,1.75,2.57,3.13,3.15
P1,28/08/16,Boavista,Chaves,2,2,D,1,0,H,2.3,3,3.4,2.1,3.1,3.6,2.2,3.1,3.1,2.3,2.9,3.4,2.36,3.08,3.62,2.38,2.8,3.3,2.3,3,3.5,52,2.38,2.29,3.1,2.97,3.62,3.41,36,3,2.75,1.47,1.41,24,-0.25,2,1.94,1.94,1.89,2.55,3,3.33
P1,28/08/16,Moreirense,Maritimo,0,1,A,0,1,A,2.38,3.2,3,2.4,3.1,2.95,2.3,3.1,2.9,2.4,3.1,3,2.53,3.24,3.11,2.4,3,3,2.45,3.2,3,52,2.55,2.44,3.24,3.11,3.11,2.99,35,2.37,2.26,1.66,1.59,25,0,1.78,1.73,2.2,2.1,2.28,3.26,3.57
P1,28/08/16,Rio Ave,Feirense,1,0,H,0,0,D,1.91,3.25,4.33,1.95,3.25,3.8,1.9,3.3,3.7,1.91,3.3,4.2,1.97,3.42,4.44,1.91,3.1,4.2,1.93,3.3,4.33,53,2.05,1.94,3.42,3.3,4.44,4.09,36,2.42,2.29,1.62,1.58,25,-0.5,1.98,1.93,1.97,1.89,1.85,3.33,5.46
P1,28/08/16,Setubal,Arouca,2,0,H,1,0,H,2.3,3.1,3.3,2.3,3.1,3.1,2.2,3.1,3.1,2.25,3,3.4,2.32,3.13,3.63,2.25,3,3.3,2.3,3.13,3.4,52,2.35,2.27,3.2,3.09,3.63,3.32,37,2.53,2.39,1.57,1.53,25,-0.25,1.98,1.93,1.96,1.9,2.28,3.27,3.56
