50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
50 0
42 8
41 9
35 15
33 17
33 17
22 28
24 26
27 23
24 26
27 23
24 26
27 23
24 26
27 23
24 26
27 23
24 26
27 23
24 26
27 23
24 26
27 23
24 26
27 23
24 26
27 23
24 26
27 23
24 26
27 23
24 26
27 23
24 26
27 23
24 26
27 23
24 26
27 23
24 26
27 23
